type,name,latitude,longitude
MRT,Hua Lamphong,13.7384,100.5169
MRT,Sam Yan,13.7327,100.5286
MRT,Si Lom,13.7291,100.534
MRT,Lumphini,13.7261,100.5411
MRT,Khlong Toei,13.7215,100.5492
MRT,Queen Sirikit National Convention Center,13.7217,100.5607
MRT,Sukhumvit,13.7383,100.5623
MRT,Phetchaburi,13.7475,100.562
MRT,Phra Ram 9,13.7566,100.5652
MRT,Thailand Cultural Centre,13.7648,100.5696
MRT,Huai Khwang,13.776,100.5715
MRT,Sutthisan,13.7895,100.5736
MRT,Ratchadaphisek,13.7985,100.5736
MRT,Lat Phrao,13.8091,100.5746
MRT,Phahon Yothin,13.821,100.5634
MRT,Chatuchak Park,13.8284,100.5569
MRT,Kamphaeng Phet,13.8324,100.549
MRT,Bang Sue,13.8011,100.5371
MRT,Tao Poon,13.8063,100.5323
MRT,Bang Son,13.8167,100.5305
MRT,Wong Sawang,13.8239,100.5245
MRT,Bang Pho,13.8321,100.5204
MRT,Tao Poon (Purple Line),13.8063,100.5323
MRT,Bang Son (Purple Line),13.8167,100.5305
MRT,Wong Sawang (Purple Line),13.8239,100.5245
MRT,Bang Rak Yai,13.8768,100.4118
MRT,Bang Rak Noi Tha It,13.8803,100.4176
MRT,Sai Ma,13.8834,100.4253
MRT,Phra Nangklao Bridge,13.8857,100.4334
MRT,Yaek Nonthaburi 1,13.8795,100.4443
MRT,Bang Krasor,13.8753,100.4512
MRT,Nonthaburi Civic Center,13.8723,100.4578
MRT,Ministry of Public Health,13.8685,100.4815
MRT,Yaek Tiwanon,13.8665,100.4903
MRT,Wong Sawang (End),13.8239,100.5245
