land_size,dist_transit,latitude,longitude,dist_cbd,dist_bts,dis_mrt,dist_office,dist_condo,dist_tourist,year,land_price,inflation,interest_rate
835.0,400.0,13.7435217540786,100.545304696599,0.4802,0.3086,1.8397,0.0,0.35,0.6195,2025,767462.0,2.5,3.5
507.0,400.0,13.7417381501543,100.544890039933,0.5271,0.3493,1.8321,0.0,0.4144,0.6289,2025,598752.0,2.5,3.5
448.0,400.0,13.7426888731979,100.547266065325,0.7094,0.0799,1.6097,0.0,0.1377,0.8428,2025,941421.0,2.5,3.5
442.0,200.0,13.7454183123012,100.544492831758,0.3881,0.4916,1.9959,0.0,0.5095,0.5484,2025,1138742.0,2.5,3.5
691.0,100.0,13.7430273201305,100.545980984387,0.5657,0.2232,1.7534,0.0,0.2721,0.6995,2025,1087341.0,2.5,3.5
413.0,100.0,13.7450270579798,100.546318906741,0.5765,0.3253,1.7977,0.0,0.326,0.733,2025,780373.0,2.5,3.5
358.0,500.0,13.7424540252458,100.546148803556,0.6052,0.2006,1.7183,0.0,0.2611,0.7306,2025,667699.0,2.5,3.5
374.0,100.0,13.7442077352557,100.545481726525,0.486,0.3255,1.8468,0.0,0.3526,0.6354,2025,694592.0,2.5,3.5
752.0,100.0,13.7416401844483,100.546813854039,0.709,0.1667,1.6267,0.0,0.2367,0.8258,2025,680064.0,2.5,3.5
798.0,100.0,13.7419503691069,100.546293145469,0.6432,0.198,1.6893,0.0,0.2654,0.7614,2025,748776.0,2.5,3.5
935.0,300.0,13.7454493250282,100.545715461021,0.518,0.4016,1.8765,0.0,0.4057,0.6774,2025,738004.0,2.5,3.5
206.0,400.0,13.7436035165499,100.543837553504,0.3259,0.4321,1.9936,0.0,0.4598,0.461,2025,569250.0,2.5,3.5
366.0,300.0,13.7427362682132,100.545678187303,0.5461,0.2512,1.7757,0.0,0.3062,0.6738,2025,893882.0,2.5,3.5
666.0,200.0,13.7424042313534,100.543448716644,0.36,0.4285,2.0,0.0,0.452,0.4565,2025,721353.0,2.5,3.5
237.0,100.0,13.7453278615931,100.54575989826,0.5205,0.388,1.8665,0.0,0.3932,0.6792,2025,792892.0,2.5,3.5
867.0,300.0,13.7438537767986,100.543683870091,0.3015,0.4089,2.0177,0.0,0.4414,0.442,2025,1188308.0,2.5,3.5
817.0,200.0,13.7417059766068,100.543762524407,0.4388,0.428,1.9508,0.0,0.5169,0.5225,2025,688564.0,2.5,3.5
832.0,500.0,13.7455627825773,100.546098514038,0.561,0.3882,1.8444,0.0,0.3853,0.7205,2025,724561.0,2.5,3.5
757.0,500.0,13.7428653796013,100.544032472098,0.3801,0.4296,1.951,0.0,0.4828,0.4981,2025,1152299.0,2.5,3.5
957.0,500.0,13.7432475370664,100.545068986928,0.4645,0.3247,1.8548,0.0,0.3716,0.5983,2025,665280.0,2.5,3.5
425.0,400.0,13.7437133538712,100.543896551755,0.328,0.4349,1.9911,0.0,0.4652,0.4661,2025,670680.0,2.5,3.5
555.0,200.0,13.7424653676347,100.54663699684,0.6535,0.148,1.6678,0.0,0.2098,0.7815,2025,834999.0,2.5,3.5
953.0,300.0,13.7442074957696,100.547296044183,0.6814,0.1942,1.6646,0.0,0.1869,0.8313,2025,1043408.0,2.5,3.5
190.0,300.0,13.741842965114,100.547205779349,0.7371,0.1202,1.5907,0.0,0.19,0.859,2025,989811.0,2.5,3.5
694.0,400.0,13.7436114530685,100.543477537563,0.2893,0.3946,2.0311,0.0,0.421,0.4223,2025,794324.0,2.5,3.5
380.0,300.0,13.7426771328517,100.546719911428,0.6538,0.1385,1.6658,0.0,0.1956,0.7851,2025,881403.0,2.5,3.5
800.0,500.0,13.7431832162502,100.545066251987,0.4666,0.3234,1.853,0.0,0.3714,0.5992,2025,778734.0,2.5,3.5
901.0,500.0,13.7425795696651,100.54596022573,0.581,0.2203,1.7416,0.0,0.2783,0.7075,2025,941421.0,2.5,3.5
868.0,100.0,13.7430976798888,100.543766575304,0.3423,0.4441,1.9854,0.0,0.4611,0.4636,2025,1109165.0,2.5,3.5
407.0,200.0,13.7444374552963,100.547163007117,0.6659,0.2234,1.6878,0.0,0.2154,0.8177,2025,639552.0,2.5,3.5
363.0,400.0,13.7438169422055,100.544833781511,0.4231,0.3678,1.8983,0.0,0.4063,0.5662,2025,793857.0,2.5,3.5
997.0,300.0,13.7452826210307,100.545587882584,0.5013,0.3961,1.8814,0.0,0.4042,0.66,2025,872954.0,2.5,3.5
755.0,100.0,13.7455293349612,100.546413181492,0.5937,0.3681,1.8122,0.0,0.3604,0.7529,2025,962398.0,2.5,3.5
780.0,400.0,13.7432486847338,100.546788663761,0.643,0.1494,1.678,0.0,0.1869,0.7822,2025,1045344.0,2.5,3.5
632.0,500.0,13.7424403441795,100.5451048828,0.5042,0.3132,1.827,0.0,0.372,0.6226,2025,771523.0,2.5,3.5
350.0,500.0,13.7429089836403,100.544949648844,0.4662,0.3313,1.8566,0.0,0.3836,0.5928,2025,849528.0,2.5,3.5
699.0,100.0,13.7433083268682,100.546308644563,0.5911,0.1989,1.7292,0.0,0.2392,0.7299,2025,662400.0,2.5,3.5
394.0,400.0,13.7454208687308,100.544413657377,0.3798,0.4834,2.0039,0.0,0.517,0.5403,2025,486000.0,2.5,3.5
316.0,100.0,13.7427303808294,100.544707055432,0.4512,0.356,1.8767,0.0,0.4108,0.5723,2025,864106.0,2.5,3.5
273.0,100.0,13.7435841124692,100.545591349592,0.5086,0.2822,1.8124,0.0,0.3208,0.6497,2025,984106.0,2.5,3.5
864.0,400.0,13.7430163380409,100.547360803993,0.7092,0.0831,1.6112,0.0,0.1231,0.8469,2025,936448.0,2.5,3.5
495.0,400.0,13.744565646057,100.544017605728,0.326,0.4342,2.0089,0.0,0.4813,0.48,2025,824828.0,2.5,3.5
261.0,200.0,13.7452138473446,100.54562294087,0.504,0.3878,1.8748,0.0,0.3964,0.6622,2025,519750.0,2.5,3.5
311.0,200.0,13.7429210990714,100.545363051182,0.5069,0.2871,1.814,0.0,0.3389,0.6361,2025,882582.0,2.5,3.5
677.0,200.0,13.7426760450338,100.544185174933,0.4051,0.4121,1.9297,0.0,0.4674,0.5199,2025,934480.0,2.5,3.5
280.0,100.0,13.7437808172021,100.544893583678,0.4303,0.3603,1.8909,0.0,0.3991,0.5729,2025,894177.0,2.5,3.5
