type,name,latitude,longitude
BTS,Khu Khot,13.9558,100.6211
BTS,Yaek Kor Por Aor,13.9472,100.6143
BTS,Royal Thai Air Force Museum,13.9218,100.6091
BTS,Bhumibol Adulyadej Hospital,13.9135,100.607
BTS,Saphan Mai,13.9024,100.6045
BTS,Sai Yud,13.8908,100.6019
BTS,Phahonyothin 59,13.8794,100.5995
BTS,Wat Phra Sri Mahathat,13.8722,100.5976
BTS,11th Infantry Regiment,13.8599,100.5948
BTS,Bang Bua,13.8478,100.5919
BTS,Royal Forest Department,13.8385,100.5896
BTS,Kasetsart University,13.8283,100.5873
BTS,Sena Nikhom,13.8169,100.5848
BTS,Ratchayothin,13.8072,100.5826
BTS,Phahonyothin 24,13.799,100.5807
BTS,Ha Yaek Lat Phrao,13.7935,100.5789
BTS,Mo Chit,13.8021,100.5531
BTS,Saphan Khwai,13.8016,100.5472
BTS,Ari,13.7798,100.5448
BTS,Sanam Pao,13.7725,100.5429
BTS,Victory Monument,13.7628,100.5378
BTS,Phaya Thai,13.7563,100.533
BTS,Ratchathewi,13.7516,100.531
BTS,Siam,13.7459,100.5341
BTS,Chit Lom,13.7447,100.54
BTS,Phloen Chit,13.7426,100.548
BTS,Nana,13.7412,100.555
BTS,Asok,13.739,100.56
BTS,Phrom Phong,13.7307,100.569
BTS,Thong Lo,13.7246,100.578
BTS,Ekkamai,13.7193,100.585
BTS,Phra Khanong,13.715,100.591
BTS,On Nut,13.7058,100.599
BTS,Bang Chak,13.6969,100.606
BTS,Punnawithi,13.6895,100.609
BTS,Udom Suk,13.6812,100.609
BTS,Bang Na,13.6687,100.604
BTS,Bearing,13.6611,100.601
BTS,Samrong,13.6465,100.596
BTS,Pu Chao,13.6389,100.594
BTS,Chang Erawan,13.6313,100.59
BTS,Royal Thai Naval Academy,13.6237,100.585
BTS,Samut Prakan,13.6161,100.58
BTS,Phraek Sa,13.6085,100.575
BTS,Sai Luat,13.6009,100.57
BTS,Kheha,13.5933,100.565
BTS,Ratchadamri,13.7405,100.54
BTS,Saladaeng,13.73,100.534
BTS,Chong Nonsi,13.7235,100.529
BTS,Surasak,13.718,100.524
BTS,Saphan Taksin,13.7135,100.517
BTS,Krung Thon Buri,13.711,100.504
BTS,Wongwian Yai,13.71,100.495
BTS,Pho Nimit,13.708,100.487
BTS,Talat Phlu,13.713,100.477
BTS,Wutthakat,13.719,100.47
BTS,Bang Wa,13.727,100.457
CBD,Siam,13.7456,100.5343
CBD,Silom,13.7283,100.5347
CBD,Asok,13.7360,100.5610
CBD,Sathorn,13.7206,100.5297
CBD,Phrom Phong,13.7301,100.5698
CBD,Chit Lom,13.7446,100.5410
CBD,Ratchada,13.7765,100.5749
CBD,Ari,13.7791,100.5436
CBD,Thong Lo,13.7246,100.5824
CBD,Vibhavadi,13.8038,100.5649
Condo,The River,13.7233,100.5083
Condo,The Met,13.7205,100.5287
Condo,The Sukhothai Residences,13.7248,100.5366
Condo,Magnolias Ratchadamri Boulevard,13.7440,100.5396
Condo,185 Rajadamri,13.7389,100.5398
Condo,Ideo Q Sukhumvit 36,13.7204,100.5829
Condo,Ashton Asoke,13.7375,100.5606
Condo,The Esse Asoke,13.7447,100.5608
Condo,Noble Ploenchit,13.7430,100.5485
Condo,Rhythm Sathorn,13.7214,100.5198
MRT,Chatuchak Park,13.8153,100.5602
MRT,Sukhumvit,13.7384,100.5615
MRT,Phahon Yothin,13.8110,100.5565
MRT,Hua Lamphong,13.7307,100.5163
MRT,Thailand Cultural Centre,13.7652,100.5691
MRT,Ladprao,13.8030,100.5748
MRT,Tao Poon,13.8065,100.5324
MRT,Bang Sue,13.8017,100.5374
MRT,Queen Sirikit National Convention Center,13.7239,100.5617
MRT,Phetchaburi,13.7489,100.5647
Office,Empire Tower,13.7211,100.5309
Office,Exchange Tower,13.7354,100.5616
Office,CP Tower Silom,13.7284,100.5323
Office,United Center,13.7269,100.5318
Office,The PARQ,13.7198,100.5557
Office,One Bangkok,13.7336,100.5455
Office,True Digital Park,13.6811,100.6115
Office,Sathorn Square,13.7236,100.5295
Office,G Tower,13.7491,100.5629
Office,All Seasons Place,13.7373,100.5463
Tourist,Grand Palace,13.7500,100.4913
Tourist,Wat Arun,13.7437,100.4880
Tourist,Wat Pho,13.7466,100.4930
Tourist,Chatuchak Market,13.7995,100.5500
Tourist,Asiatique The Riverfront,13.7057,100.5106
Tourist,Jim Thompson House,13.7513,100.5284
Tourist,MBK Center,13.7449,100.5295
Tourist,Erawan Shrine,13.7441,100.5396
Tourist,Chinatown (Yaowarat),13.7394,100.5107
Tourist,Lumphini Park,13.7301,100.5410
